Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2007,22,22,CHA,Jared Dudley,Boston College,11,741,17771,6120,2527,1200,0.468,0.397,0.732,24,8.3,3.4,1.6,39.4,0.107,1.3,14.7
2007,23,23,NYK,Wilson Chandler,DePaul University,10,522,16213,7263,2843,941,0.445,0.339,0.769,31.1,13.9,5.4,1.8,23.8,0.07,-0.7,5.2
2007,24,24,PHO,Rudy Fernandez,,4,249,5965,2254,608,554,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,1.8,5.7
2007,25,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.4,-0.4
2007,26,26,HOU,Aaron Brooks,University of Oregon,10,615,13257,6189,1064,1905,0.413,0.37,0.839,21.6,10.1,1.7,3.1,19.2,0.069,-1.7,0.9
2007,27,27,DET,Arron Afflalo,"University of California, Los Angeles",11,712,20173,8023,2112,1359,0.451,0.386,0.824,28.3,11.3,3,1.9,33.3,0.079,-1,5.1
2007,28,28,SAS,Tiago Splitter,,7,355,6812,2816,1779,423,0.555,0.143,0.697,19.2,7.9,5,1.2,25.3,0.178,1.9,6.7
2007,29,29,PHO,Alando Tucker,University of Wisconsin,3,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-6.7,-0.5
2007,30,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,,,
2007,31,31,SEA,Carl Landry,Purdue University,9,513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-1.1,2.6
2007,32,32,BOS,Gabe Pruitt,University of Southern California,2,62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-3.1,-0.1
2007,33,33,SAS,Marcus Williams,University of Arizona,2,13,39,14,12,3,0.318,,,3,1.1,0.9,0.2,-0.1,-0.084,-7.5,-0.1
2007,34,34,DAL,Nick Fazekas,"University of Nevada, Reno",1,26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,-0.1,0.1
2007,35,35,SEA,Glen Davis,Louisiana State University,8,514,10865,4111,2236,457,0.447,0.182,0.7,21.1,8,4.4,0.9,18.6,0.082,-2.3,-0.8
2007,36,36,GSW,Jermareo Davidson,University of Alabama,2,52,433,162,96,14,0.425,,0.578,8.3,3.1,1.8,0.3,0,0,-7.6,-0.6
2007,37,37,POR,Josh McRoberts,Duke University,10,431,8265,2333,1686,901,0.464,0.341,0.705,19.2,5.4,3.9,2.1,18.5,0.107,1,6.2
2007,38,38,PHI,Kyrylo Fesenko,,5,135,1107,305,269,40,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038,-4,-0.6
2007,39,39,MIA,Stanko Barac,,,,,,,,,,,,,,,,,,
2007,40,40,LAL,Sun Yue,,1,10,28,6,0,2,0.273,0,,2.8,0.6,0,0.2,-0.1,-0.226,-15.2,-0.1
2007,41,41,MIN,Chris Richard,University of Florida,2,70,780,135,194,25,0.483,,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-3.5,-0.3
2007,42,42,POR,Derrick Byars,Vanderbilt University,1,2,37,10,11,1,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147,0.6,0
2007,43,43,NOK,Adam Haluska,University of Iowa,,,,,,,,,,,,,,,,,
2007,44,44,ORL,Reyshawn Terry,University of North Carolina,,,,,,,,,,,,,,,,,
2007,45,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,,,
2007,46,46,GSW,Stephane Lasme,University of Massachusetts Amherst,1,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-2.8,-0.1
2007,47,47,WAS,Dominic McGuire,"California State University, Fresno",6,342,5348,939,1169,422,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-1.6,0.6
2007,48,48,LAL,Marc Gasol,,10,649,21927,9723,4956,2106,0.496,0.351,0.774,33.8,15,7.6,3.2,70.4,0.154,3.7,31.6
2007,49,49,CHI,Aaron Gray,University of Pittsburgh,7,318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-1.8,0.2
2007,50,50,DAL,Renaldas Seibutis,,,,,,,,,,,,,,,,,,
2007,51,51,CHI,JamesOn Curry,Oklahoma State University,1,1,0,0,0,0,,,,0,0,0,0,0,,,0
2007,52,52,POR,Taurean Green,University of Florida,1,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-8.2,-0.1
2007,53,53,POR,Demetris Nichols,Syracuse University,2,18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-15.3,-0.2
2007,54,54,HOU,Brad Newley,,,,,,,,,,,,,,,,,,
2007,55,55,UTA,Herbert Hill,Providence College,,,,,,,,,,,,,,,,,
2007,56,56,MIL,Ramon Sessions,"University of Nevada, Reno",11,666,15806,7026,1812,2743,0.436,0.315,0.791,23.7,10.5,2.7,4.1,28.6,0.087,-1.8,0.8
2007,57,57,DET,Sammy Mejia,DePaul University,,,,,,,,,,,,,,,,,
2007,58,58,SAS,Giorgos Printezis,,,,,,,,,,,,,,,,,,
2007,59,59,PHO,D.J. Strawberry,University of Maryland,1,33,270,73,28,30,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.1,-0.2
2007,60,60,DAL,Milovan Rakovic,,,,,,,,,,,,,,,,,,
2006,1,1,TOR,Andrea Bargnani,,10,550,15806,7873,2541,653,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-2.2,-0.9
2006,2,2,CHI,LaMarcus Aldridge,University of Texas at Austin,12,800,27780,15290,6643,1521,0.487,0.29,0.803,34.7,19.1,8.3,1.9,87.9,0.152,1.3,22.8
2006,3,3,CHA,Adam Morrison,Gonzaga University,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.5,-2.9
2006,4,4,POR,Tyrus Thomas,Louisiana State University,8,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,-1.1,1.7
2006,5,5,ATL,Shelden Williams,Duke University,6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-2.8,-1.2
2006,6,6,MIN,Brandon Roy,University of Washington,6,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.2,15.2
2006,7,7,BOS,Randy Foye,Villanova University,11,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.3,3.4
2006,8,8,HOU,Rudy Gay,University of Connecticut,12,759,26957,13931,4481,1723,0.452,0.345,0.795,35.5,18.4,5.9,2.3,47.9,0.085,0.5,17
2006,9,9,GSW,Patrick O'Bryant,Bradley University,4,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-3.1,-0.2
2006,10,10,SEA,Mouhamed Sene,,3,47,260,103,75,1,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,-9.3,-0.5
2006,11,11,ORL,J.J. Redick,Duke University,12,695,17327,8280,1340,1292,0.447,0.415,0.888,24.9,11.9,1.9,1.9,46.6,0.129,0.1,9.1
2006,12,12,NOK,Hilton Armstrong,University of Connecticut,6,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-2.8,-0.7
2006,13,13,PHI,Thabo Sefolosha,,12,746,17342,4439,2905,1115,0.447,0.344,0.733,23.2,6,3.9,1.5,34.9,0.097,1.1,13.4
2006,14,14,UTA,Ronnie Brewer,University of Arkansas,8,502,11539,3940,1427,828,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,1.7,10.7
2006,15,15,NOK,Cedric Simmons,North Carolina State University,3,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5.7,-0.7
2006,16,16,CHI,Rodney Carney,University of Memphis,5,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-2.7,-0.8
2006,17,17,IND,Shawne Williams,University of Memphis,7,314,5368,1769,945,220,0.403,0.339,0.755,17.1,5.6,3,0.7,6.7,0.06,-2,0
2006,18,18,WAS,Oleksiy Pecherov,,3,111,1044,438,266,20,0.386,0.29,0.793,9.4,3.9,2.4,0.2,0.5,0.025,-7,-1.3
2006,19,19,SAC,Quincy Douby,Rutgers University,3,143,1535,588,152,93,0.389,0.312,0.884,10.7,4.1,1.1,0.7,0,0,-5.4,-1.3
2006,20,20,NYK,Renaldo Balkman,University of South Carolina,6,221,3064,894,769,132,0.51,0.172,0.542,13.9,4,3.5,0.6,7.2,0.113,0.9,2.2
2006,21,21,PHO,Rajon Rondo,University of Kentucky,11,714,23045,7606,3483,6075,0.463,0.304,0.606,32.3,10.7,4.9,8.5,53.5,0.111,1.8,22
